latitude,longitude,altitude,geometry,uwi,lease,operator,fake_number
32.144183,-102.826903,,Point,4.20E+13,UNIVERSITY `B11` `7`,MEWBOURNE OIL COMPANY,58
32.138426,-102.830623,,Point,4.20E+13,UNIVERSITY `B11` `18`,MEWBOURNE OIL COMPANY,72
32.390867,-102.617719,,Point,4.20E+13,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,82
32.159644,-102.601547,,Point,4.20E+13,STATE AQ,GREYSTONE PETROLEUM LLC,43
32.454077,-102.344394,,Point,4.20E+13,UNIVERSITY LANDS 5-22,PIEDRA OPERATING LLC,57
32.392256,-102.611917,,Point,4.20E+13,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,100
32.480467,-102.36166,,Point,4.20E+13,UNIVERSITY LANDS CONSOLIDATED UNIT 5-9,ZARVONA ENERGY LLC,73
32.163769,-102.648753,,Point,4.20E+13,UNIVERSITY 24A,SHERIDAN PRODUCTION COMPANY LLC,84
32.326503,-102.618308,,Point,4.20E+13,SHAFTER LAKE/SAN ANDRES/UNIT,APACHE CORPORATION,60
32.326372,-102.617678,,Point,4.20E+13,SHAFTER LAKE/SAN ANDRES/UNIT,APACHE CORPORATION,22
32.266261,-102.719556,,Point,4.20E+13,RANCH 4,SHERIDAN PRODUCTION COMPANY LLC,90
32.340172,-102.63245,,Point,4.20E+13,SHAFTER LAKE /SAN ANDRES/ UNIT,APACHE CORPORATION,72
32.265306,-102.882401,,Point,4.20E+13,UNIVERSITY 12-10,DEVON ENERGY PRODUCTION COMPANY L P,68
32.391478,-102.740316,,Point,4.20E+13,UB 13-14,LIME ROCK RESOURCES IV A LP,28
32.15995,-102.822933,,Point,4.20E+13,UNIVERSITY B11 `5`,MEWBOURNE OIL COMPANY,68
32.329769,-102.633017,,Point,4.20E+13,SHAFTER LAKE /SAN ANDRES/ UNIT,APACHE CORPORATION,39
32.428682,-102.688782,,Point,4.20E+13,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,50
32.413164,-102.684109,,Point,4.20E+13,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,13
32.22083,-102.82319,,Point,4.20E+13,UNIVERSITY 12-25 SOUTHEAST,SHERIDAN PRODUCTION COMPANY LLC,91
32.520381,-102.8983,,Point,4.20E+13,ECLIPSE,TEXLAND PETROLEUM LIMITED PARTNERSHIP,9
32.391568,-102.614808,,Point,4.20E+13,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,27
32.389979,-102.621483,,Point,4.20E+13,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,48
32.142207,-102.822847,,Point,4.20E+13,THREE BAR SHALLOW UNIT,APACHE CORPORATION,30
32.133864,-102.485658,,Point,4.20E+13,UNIVERSITY `36` PINNACLE,ZARVONA ENERGY LLC,86
32.257073,-102.640511,,Point,4.20E+13,GOWENS J W -A-,SHERIDAN PRODUCTION COMPANY LLC,17
32.143639,-102.819281,,Point,4.20E+13,THREE BAR SHALLOW UNIT,APACHE CORPORATION,63
32.144006,-102.823823,,Point,4.20E+13,THREE BAR SHALLOW UNIT,APACHE CORPORATION,56
32.414863,-102.643277,,Point,4.20E+13,FISHER 9,LIME ROCK RESOURCES IV A LP,18
32.388627,-102.618374,,Point,4.20E+13,WELBORN 20,PACESETTER ENERGY INCORPORATED,42
32.390631,-102.610069,,Point,4.20E+13,WELBORN 20,PACESETTER ENERGY INCORPORATED,34
32.157595,-102.794971,,Point,4.20E+13,THREE BAR SHALLOW UNIT,APACHE CORPORATION,41
32.419041,-102.62552,,Point,4.20E+13,FISHER 5,LIME ROCK RESOURCES IV A LP,9
32.091114,-102.791517,,Point,4.20E+13,UNIVERSITY `B11-32`,MEWBOURNE OIL COMPANY,89
32.418452,-102.620808,,Point,4.20E+13,FISHER 8,LIME ROCK RESOURCES IV A LP,12
32.164208,-102.484883,,Point,4.20E+13,UNIVERSITY 29 SAWGRASS,ZARVONA ENERGY LLC,71
32.404181,-102.721979,,Point,4.20E+13,UNIVERSITY -YZ-,OXY USA WTP LP,57
32.213208,-102.528519,,Point,4.20E+13,UNIVERSITY 7 `BERKLEY`,ZARVONA ENERGY LLC,59
32.410356,-102.724999,,Point,4.20E+13,UNIVERSITY LANDS 13 KEENE 34,LIME ROCK RESOURCES IV A LP,94
32.389619,-102.614261,,Point,4.20E+13,WELBORN 20,PACESETTER ENERGY INCORPORATED,10
32.284508,-102.698131,,Point,4.20E+13,LINDLEY -A-,ARES ENERGY LIMITED,60
32.165272,-102.468397,,Point,4.20E+13,UNIVERSITY `30` COBRA,ZARVONA ENERGY LLC,72
32.434696,-102.689239,,Point,4.20E+13,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,30
32.391505,-102.606445,,Point,4.20E+13,WELBORN `20`,PACESETTER ENERGY INCORPORATED,90
32.106493,-102.787092,,Point,4.20E+13,UNIVERSITY `B11 28`,MEWBOURNE OIL COMPANY,44
32.143697,-102.814276,,Point,4.20E+13,THREE BAR SHALLOW UNIT,APACHE CORPORATION,80
32.145625,-102.820114,,Point,4.20E+13,THREE BAR SHALLOW UNIT,APACHE CORPORATION,70
32.480341,-102.283741,,Point,4.20E+13,UNIVERSITY 6-23 UNIT,W&T OFFSHORE INCORPORATED,97
32.18135,-102.482798,,Point,4.20E+13,UNIVERSITY `29` SAWGRASS POOLED UNIT,ZARVONA ENERGY LLC,8
32.385332,-102.757438,,Point,4.20E+13,UNIVERSITY LANDS 13 DUBLIN,LIME ROCK RESOURCES IV A LP,88
32.427974,-102.26149,,Point,4.20E+13,UNIVERSITY 6-48,W&T OFFSHORE INCORPORATED,52
32.153882,-102.798568,,Point,4.20E+13,THREE BAR SHALLOW UNIT,APACHE CORPORATION,83
32.147907,-102.811251,,Point,4.20E+13,THREE BAR SHALLOW UNIT,APACHE CORPORATION,60
32.148756,-102.807706,,Point,4.20E+13,THREE BAR SHALLOW UNIT,APACHE CORPORATION,11
32.151466,-102.796612,,Point,4.20E+13,THREE BAR SHALLOW UNIT,APACHE CORPORATION,40
32.151358,-102.800407,,Point,4.20E+13,THREE BAR SHALLOW UNIT,APACHE CORPORATION,84
32.446193,-102.622724,,Point,4.20E+13,DOW-HALL,TESSARA PETROLEUM RESOURCES LLC,58
32.517847,-102.213432,,Point,4.20E+13,UNIVERSITY 6-13 UNIT,W&T OFFSHORE INCORPORATED,71
32.462603,-102.241483,,Point,4.20E+13,UNIVERSITY 6-32,W&T OFFSHORE INCORPORATED,92
32.415549,-102.639881,,Point,4.20E+13,FISHER 9,LIME ROCK RESOURCES IV A LP,38
32.3929,-102.60684,,Point,4.20E+13,FISHER EARLENE 17,LIME ROCK RESOURCES IV A LP,14
32.138428,-102.830889,,Point,4.20E+13,UNIVERSITY `B11` `7`,MEWBOURNE OIL COMPANY,99
